Entity,Code,Year,"Meat of cattle with the bone, fresh or chilled | 00000867 || Producing or slaughtered animals | 005320 || animals","Meat, goat | 00001017 || Producing or slaughtered animals | 005320 || animals","Meat, chicken | 00001058 || Producing or slaughtered animals | 005321 || animals","Meat, turkey | 00001080 || Producing or slaughtered animals | 005321 || animals","Meat, pig | 00001035 || Producing or slaughtered animals | 005320 || animals","Meat, lamb and mutton | 00000977 || Producing or slaughtered animals | 005320 || animals","Meat, duck | 00001069 || Producing or slaughtered animals | 005321 || animals"
Barbados,BRB,2003,2253,1950,9500000,85000,22199,2562,
Barbados,BRB,2004,1338,2000,10950000,67000,26099,2767,
Barbados,BRB,2005,950,2000,12000000,110000,26500,2250,
Barbados,BRB,2006,950,2000,11000000,85000,27800,2250,
Barbados,BRB,2007,740,2000,12000000,85000,27800,2050,
Barbados,BRB,2008,800,2000,11500000,74000,27800,2420,
Barbados,BRB,2009,830,2000,11600000,67000,29000,2540,
Barbados,BRB,2010,840,2000,11600000,85000,29500,2950,
Barbados,BRB,2011,820,2000,11600000,73000,30000,3140,
Barbados,BRB,2012,709,2200,8654000,54000,34679,2948,
Barbados,BRB,2013,671,2219,8349000,29000,34282,2848,
Barbados,BRB,2014,736,2083,8984000,20000,36190,2853,
Barbados,BRB,2015,844,2067,10044000,40000,36012,2894,
Barbados,BRB,2016,861,2074,9175000,30000,33676,3141,
Barbados,BRB,2017,885,2071,9735000,39000,33109,2868,
Barbados,BRB,2018,848,2087,10141000,39000,35041,3043,
Barbados,BRB,2019,829,2110,9998000,31000,35908,2621,
Barbados,BRB,2020,887,2113,9000000,31000,36359,2842,
Barbados,BRB,2021,775,2123,8347000,37000,33300,1860,
Barbados,BRB,2022,971,2132,9940000,22000,32103,2405,
Belarus,BLR,1992,2774000,,93000000,,4400000,285000,
Belarus,BLR,1993,2534000,,101000000,,4000000,288000,
Belarus,BLR,1994,2194000,,74500000,,3574000,260000,
Belarus,BLR,1995,1805000,,53000000,,3700000,195000,
Belarus,BLR,1996,1600000,,49000000,,3600000,200000,
Belarus,BLR,1997,1490000,,55000000,,3890000,160000,
Belarus,BLR,1998,1573000,,59000000,,4130000,140000,
Belarus,BLR,1999,1548000,,57000000,,3935000,135000,
Belarus,BLR,2000,1250000,,60000000,,3900000,130000,
Belarus,BLR,2001,1360000,,68000000,,3950000,140000,
Belarus,BLR,2002,1370000,,68000000,,3905000,90000,
Belarus,BLR,2003,1280000,,70000000,,3900000,100000,0
Belarus,BLR,2004,1320000,,80500000,,3900000,90000,500000
Belarus,BLR,2005,1500000,,90000000,,4170000,60000,500000
Belarus,BLR,2006,1580000,,121000000,,4600000,50000,500000
Belarus,BLR,2007,1570000,,137700000,,4950000,55000,500000
Belarus,BLR,2008,1560000,,159600000,,5000000,60000,500000
Belarus,BLR,2009,1795000,,182300000,,5176000,65000,650000
Belarus,BLR,2010,1785000,,215800000,,5312000,70000,700000
Belarus,BLR,2011,1730000,,247700000,,5590700,65000,750000
Belarus,BLR,2012,1700000,,292800000,,5905000,50000,1000000
Belarus,BLR,2013,1830000,,318800000,,6252000,55000,1000000
Belarus,BLR,2014,1787791,,343300000,,5100028,66673,1216000
Belarus,BLR,2015,1674368,,368300000,,5143927,85029,1291000
Belarus,BLR,2016,1588764,,378900000,,5156398,83706,1332000
Belarus,BLR,2017,1581002,,404100000,,5484073,90819,1331000
Belarus,BLR,2018,1549762,,413800000,,4755120,77009,1354000
Belarus,BLR,2019,1513993,,435800000,,4911642,75693,1563000
Belarus,BLR,2020,1496778,,446500000,,4935846,74937,1627000
Belarus,BLR,2021,1466857,,419300000,,4460590,70238,1714000
Belarus,BLR,2022,1451641,,423400000,,4513183,66284,1803000
Belgium,BEL,2000,832926,2755,276000000,723000,11115700,218000,0
Belgium,BEL,2001,873268,2153,262000000,737000,11280200,234000,0
Belgium,BEL,2002,932473,2387,296200000,788000,11109700,161200,0
Belgium,BEL,2003,853641,2428,274000000,689000,11210358,170000,0
Belgium,BEL,2004,842585,2412,302000000,539000,11117162,178440,0
Belgium,BEL,2005,823231,1376,285000000,405000,10903428,160570,0
Belgium,BEL,2006,819494,1281,303000000,477000,10740792,68207,0
Belgium,BEL,2007,815229,1278,268731000,628000,11223025,67341,0
Belgium,BEL,2008,812541,2174,273022000,815000,11157415,63170,0
Belgium,BEL,2009,789986,1349,289243000,915000,11161285,35571,50000
Belgium,BEL,2010,835198,7951,307950000,848000,11900000,143056,56000
Belgium,BEL,2011,857196,6683,304487000,880000,11764956,126827,52000
Belgium,BEL,2012,822565,7527,308010000,862000,11695145,115874,52000
Belgium,BEL,2013,806179,6665,290476000,880000,11915000,121085,48000
Belgium,BEL,2014,835331,6320,293639000,836000,11855070,122720,46000
Belgium,BEL,2015,872548,11656,302961000,804000,11886693,128113,44000
Belgium,BEL,2016,911370,12801,305770000,778000,11181334,141105,45000
Belgium,BEL,2017,920142,16042,300502000,775000,10949769,139029,42000
Belgium,BEL,2018,888100,18140,304955000,766000,11231310,131340,40000
Belgium,BEL,2019,837890,18220,295393000,728000,10720290,122380,35000
Belgium,BEL,2020,782650,16300,297295000,,11151060,122720,33000
Belgium,BEL,2021,766940,22330,302558000,,11585580,124610,32000
Belgium,BEL,2022,755080,23770,297794000,,10521220,98850,35000
Belgium-Luxembourg (FAO),,1961,986380,,67500000,350000,3141407,157000,
Belgium-Luxembourg (FAO),,1962,1047045,,77400000,349000,3442501,148000,
Belgium-Luxembourg (FAO),,1963,1151342,,78026000,318000,3111000,148000,
Belgium-Luxembourg (FAO),,1964,994000,,81882000,347000,3058000,167000,
Belgium-Luxembourg (FAO),,1965,959000,,87758000,337000,3453000,247000,
Belgium-Luxembourg (FAO),,1966,1021000,,90561000,369000,3853000,161000,
Belgium-Luxembourg (FAO),,1967,1051000,,93924000,682000,4390000,198000,
Belgium-Luxembourg (FAO),,1968,1056000,,88970000,1021000,4778000,209000,
Belgium-Luxembourg (FAO),,1969,1047000,,90219000,1422000,4803000,434000,
Belgium-Luxembourg (FAO),,1970,1076000,,97753000,1678000,5905000,329000,
Belgium-Luxembourg (FAO),,1971,1106000,,100629000,1751000,6432000,221000,
Belgium-Luxembourg (FAO),,1972,1037000,,99305000,1693000,6757000,150000,
Belgium-Luxembourg (FAO),,1973,1005000,,100392000,2100000,7284000,148000,
Belgium-Luxembourg (FAO),,1974,1141000,,100697000,2380000,7742000,164000,
Belgium-Luxembourg (FAO),,1975,1141000,,97873000,2456000,7218000,188000,
Belgium-Luxembourg (FAO),,1976,1082000,,103246000,2146000,7191000,173000,
Belgium-Luxembourg (FAO),,1977,1050000,,100353000,2256000,7303000,192000,
Belgium-Luxembourg (FAO),,1978,1023000,,92840000,2015000,7766000,180000,
Belgium-Luxembourg (FAO),,1979,1062000,,97470000,2263000,8106000,229000,
Belgium-Luxembourg (FAO),,1980,1097000,,96433000,2346000,8267000,219000,
Belgium-Luxembourg (FAO),,1981,1120000,,94798000,1949000,8351000,244000,
Belgium-Luxembourg (FAO),,1982,990000,,100868000,2214000,8085000,261000,
Belgium-Luxembourg (FAO),,1983,983000,,99771000,2400000,8152000,337000,
Belgium-Luxembourg (FAO),,1984,1058000,,97106000,2480000,8455000,341000,
Belgium-Luxembourg (FAO),,1985,1066800,,110332000,2420000,8390000,363000,
Belgium-Luxembourg (FAO),,1986,1037715,,118776000,2380000,8617000,361000,
Belgium-Luxembourg (FAO),,1987,1055000,,121000000,2208000,9093000,324000,
Belgium-Luxembourg (FAO),,1988,985000,,124000000,1639000,9278000,334000,
Belgium-Luxembourg (FAO),,1989,894000,,122700000,1501000,9492000,328000,
Belgium-Luxembourg (FAO),,1990,936000,,131000000,1509000,8738000,360000,
Belgium-Luxembourg (FAO),,1991,1146000,,134800000,1522000,10106000,389000,
Belgium-Luxembourg (FAO),,1992,1107000,,153200000,1660000,10526000,276000,
Belgium-Luxembourg (FAO),,1993,1123000,,171500000,1685000,11173000,209000,
Belgium-Luxembourg (FAO),,1994,1076000,,184900000,1340000,10989000,253000,
Belgium-Luxembourg (FAO),,1995,1069500,,208700000,1735000,11406000,229000,
Belgium-Luxembourg (FAO),,1996,1071200,,224000000,2125000,11598100,230000,
Belgium-Luxembourg (FAO),,1997,1059900,,225000000,987000,11204000,203000,
Belgium-Luxembourg (FAO),,1998,947200,,253500000,1385000,11653000,213000,
Belgium-Luxembourg (FAO),,1999,840000,,248000000,1770000,10640000,220000,
Belize,BLZ,1961,3386,240,160000,8000,21000,400,5000
Belize,BLZ,1962,3411,280,180000,8000,21000,400,5000
Belize,BLZ,1963,3783,320,200000,8000,20000,410,5000
Belize,BLZ,1964,4195,360,220000,9000,19000,320,5000
Belize,BLZ,1965,4241,370,245000,10000,20000,160,5000
Belize,BLZ,1966,4578,400,265000,10000,20000,200,5000
Belize,BLZ,1967,4804,400,335000,10000,19000,250,5000
Belize,BLZ,1968,4945,400,400000,10000,19000,340,6000
Belize,BLZ,1969,3081,400,465000,10000,19000,360,6000
Belize,BLZ,1970,3310,410,600000,10000,21000,480,6000
Belize,BLZ,1971,4390,440,665000,11000,24000,490,6000
Belize,BLZ,1972,5004,480,755000,11000,24000,500,6000
Belize,BLZ,1973,6886,520,695000,11000,24000,520,7000
Belize,BLZ,1974,5670,320,725000,11000,23000,540,7000
Belize,BLZ,1975,5798,360,725000,11000,25000,560,7000
Belize,BLZ,1976,6000,400,1000000,12000,24000,580,7000
Belize,BLZ,1977,6300,420,1110000,12000,24000,600,7000
Belize,BLZ,1978,6600,440,1150000,12000,24000,600,8000
Belize,BLZ,1979,7100,460,1250000,12000,24000,600,8000
Belize,BLZ,1980,6600,400,1400000,13000,24000,600,8000
Belize,BLZ,1981,6400,400,1534000,13000,24000,600,8000
Belize,BLZ,1982,6042,440,1789000,13000,25000,620,8000
Belize,BLZ,1983,5820,440,1929000,13000,29000,640,8000
Belize,BLZ,1984,6198,440,1968000,13000,32000,660,8000
Belize,BLZ,1985,7552,480,2002000,13000,35000,695,8000
Belize,BLZ,1986,7091,480,2250000,13000,36000,700,8000
Belize,BLZ,1987,8317,480,3030000,13000,36000,700,8000
Belize,BLZ,1988,7459,480,2831000,13000,37000,700,8000
Belize,BLZ,1989,6423,520,2486000,13000,8341,520,8000
Belize,BLZ,1990,7870,52,3882000,13000,11553,350,8000
Belize,BLZ,1991,7157,52,4160000,13000,8627,500,8000
Belize,BLZ,1992,8708,52,4746000,21000,10955,550,8000
Belize,BLZ,1993,6474,52,2965000,11000,6637,360,8000
Belize,BLZ,1994,7638,55,4606000,22000,11744,700,8000
Belize,BLZ,1995,8245,55,4419000,13000,11792,600,8000
Belize,BLZ,1996,7453,55,4715000,16000,11471,550,8000
Belize,BLZ,1997,7425,55,4857000,13000,11500,600,8000
Belize,BLZ,1998,7425,55,4796000,15000,12153,620,8000
Belize,BLZ,1999,7302,55,5614000,21000,14861,680,8000
Belize,BLZ,2000,7235,59,5417000,20000,14712,650,8000
Belize,BLZ,2001,8729,64,7795000,28000,17225,588,8000
Belize,BLZ,2002,9076,68,9210000,32000,17905,992,8000
Belize,BLZ,2003,10880,60,8168000,27000,19003,1137,9000
Belize,BLZ,2004,13020,70,8588000,25000,14325,1316,10000
Belize,BLZ,2005,7904,70,8491000,23000,19612,1326,10000
Belize,BLZ,2006,8252,70,8243000,29000,21330,1253,10000
Belize,BLZ,2007,7926,72,8456000,24000,20536,1171,10000
Belize,BLZ,2008,8401,76,8329000,29000,19602,1494,10000
Belize,BLZ,2009,7961,76,8429000,41000,21953,886,10000
Belize,BLZ,2010,7414,77,8590000,25000,22415,1341,11000
Belize,BLZ,2011,7861,78,8817000,24000,21704,1401,11000
Belize,BLZ,2012,8157,73,8965000,7000,25881,1735,11000
Belize,BLZ,2013,9052,75,9954000,44000,24655,2096,11000
Belize,BLZ,2014,7588,75,10690000,38000,25233,1396,10000
Belize,BLZ,2015,7834,77,11212000,10000,30038,2398,10000
Belize,BLZ,2016,7093,77,11669000,32000,30993,2528,10000
Belize,BLZ,2017,7268,77,11870000,50000,32674,2199,11000
Belize,BLZ,2018,8736,77,11670000,36000,39003,2631,10000
Belize,BLZ,2019,8539,77,12019000,45000,37852,1655,10000
Belize,BLZ,2020,7733,77,10721000,40000,37701,1363,11000
Belize,BLZ,2021,8133,78,11215000,46000,38567,2199,11000
Belize,BLZ,2022,8942,78,11915000,62000,40770,2423,11000
Benin,BEN,1961,52000,123000,5000000,,96000,75000,
Benin,BEN,1962,50000,129000,5000000,,110000,85000,
Benin,BEN,1963,48112,151970,5000000,,120999,120258,
Benin,BEN,1964,51103,162600,5100000,,132880,129480,
Benin,BEN,1965,58409,163200,5200000,,140895,146850,
Benin,BEN,1966,65871,159450,5300000,,119920,154200,
Benin,BEN,1967,68601,171720,5500000,,138600,163770,
Benin,BEN,1968,68192,165608,5800000,,122653,153492,
Benin,BEN,1969,73537,176079,6100000,,130388,167853,
Benin,BEN,1970,73632,178320,6700000,,142260,174090,
Benin,BEN,1971,76414,182700,7400000,,143640,175470,
Benin,BEN,1972,84006,191070,8000000,,139080,188370,
Benin,BEN,1973,88888,232755,8800000,,141008,241842,
Benin,BEN,1974,88888,232890,9600000,,141002,241806,
Benin,BEN,1975,93822,239884,10500000,,140960,249090,
Benin,BEN,1976,92475,247081,11500000,,153977,256760,
Benin,BEN,1977,94325,254487,12300000,,160512,264260,
Benin,BEN,1978,96211,262128,13200000,,168000,272188,
Benin,BEN,1979,98135,263992,14500000,,175000,280314,
Benin,BEN,1980,107768,279213,15600000,,181000,292725,
Benin,BEN,1981,109924,287590,16000000,,190000,300150,
Benin,BEN,1982,115000,320000,18000000,,199000,313000,
Benin,BEN,1983,119000,354000,23000000,,208000,354000,
Benin,BEN,1984,122000,392000,26000000,,209000,367000,
Benin,BEN,1985,125000,382000,30000000,,232000,382000,
Benin,BEN,1986,119000,300000,24000000,,236000,250000,
Benin,BEN,1987,120000,300000,22000000,,247000,250000,
Benin,BEN,1988,121000,324000,19000000,,185000,250000,
Benin,BEN,1989,124000,327000,15000000,,183000,253800,
Benin,BEN,1990,140000,305000,13500000,,185000,260700,
Benin,BEN,1991,142000,312300,11000000,,206000,267800,
Benin,BEN,1992,149000,330000,11500000,,212000,215000,
Benin,BEN,1993,148000,354000,12500000,,220000,185000,
Benin,BEN,1994,159000,358000,13000000,,249000,216000,
Benin,BEN,1995,140000,358500,13500000,,245000,218000,
Benin,BEN,1996,141000,392000,13700000,,270000,236000,
Benin,BEN,1997,146500,406000,14000000,,213200,242500,
Benin,BEN,1998,180000,386000,14300000,,119000,231500,
Benin,BEN,1999,172000,388160,14500000,,87500,228940,
Benin,BEN,2000,163500,407655,17317000,,134000,235585,
Benin,BEN,2001,168748,425565,17318000,,124500,229745,
Benin,BEN,2002,178159,432320,18333000,,128500,234960,
Benin,BEN,2003,178966,442430,26000000,,134000,234710,
Benin,BEN,2004,180191,459400,21344000,,139000,245220,
Benin,BEN,2005,176942,460200,24100000,,136150,256300,
Benin,BEN,2006,183005,472100,18073000,,141500,258400,
Benin,BEN,2007,184245,481550,19136000,,147150,263650,
Benin,BEN,2008,185405,491400,17727000,,153450,269500,
Benin,BEN,2009,186479,502260,18198000,,158250,294580,
Benin,BEN,2010,187554,520000,18791000,,164800,297700,
Benin,BEN,2011,188620,535000,21231000,,171000,300000,
Benin,BEN,2012,189485,540000,21911000,,180000,310000,
Benin,BEN,2013,190326,545000,22611000,,182000,315000,
Benin,BEN,2014,196049,553554,23335000,,192535,313006,
Benin,BEN,2015,197114,564710,24082000,,201743,312172,
Benin,BEN,2016,198938,574257,24855000,,203805,317654,
Benin,BEN,2017,202674,583531,25653000,,213525,323104,
Benin,BEN,2018,204466,593470,26474000,,218762,326576,
Benin,BEN,2019,205501,604292,27322000,,227035,333823,
Benin,BEN,2020,154408,881898,17806000,,324890,811178,
Benin,BEN,2021,167684,1070689,17017000,,357366,835611,
Benin,BEN,2022,182095,1097706,17591000,,393148,860449,
Bhutan,BTN,1961,25000,7500,73000,,15500,3700,
Bhutan,BTN,1962,28000,7500,76000,,15800,3900,
Bhutan,BTN,1963,31000,7700,80000,,16000,4100,
Bhutan,BTN,1964,31700,7500,83000,,16300,4500,
Bhutan,BTN,1965,32500,7600,87000,,16500,4500,
Bhutan,BTN,1966,33000,7700,91000,,16700,4500,
Bhutan,BTN,1967,34000,7750,96000,,16900,5000,
Bhutan,BTN,1968,34500,7700,100000,,17000,5000,
Bhutan,BTN,1969,35600,7750,105000,,18000,5300,
Bhutan,BTN,1970,36600,7750,111000,,18200,5300,
Bhutan,BTN,1971,37500,7800,117000,,18300,5300,
Bhutan,BTN,1972,38400,7800,124000,,18500,5500,
Bhutan,BTN,1973,39000,7850,134000,,20000,5800,
Bhutan,BTN,1974,40000,7900,142000,,22000,6000,
Bhutan,BTN,1975,41000,7950,159000,,22300,6000,
Bhutan,BTN,1976,42000,8000,181000,,22500,6000,
Bhutan,BTN,1977,43000,8000,203000,,22800,6000,
Bhutan,BTN,1978,44000,8100,222000,,23000,6500,
Bhutan,BTN,1979,45000,8150,240000,,23500,6000,
Bhutan,BTN,1980,46000,8250,260000,,29970,7000,
Bhutan,BTN,1981,47000,8500,280000,,24000,7000,
Bhutan,BTN,1982,49500,9400,290000,,24500,8000,
Bhutan,BTN,1983,52600,11300,300000,,26000,8500,
Bhutan,BTN,1984,55480,12700,320000,,26950,11000,
Bhutan,BTN,1985,58700,13000,340000,,27000,13500,
Bhutan,BTN,1986,58600,10000,360000,,30000,8000,
Bhutan,BTN,1987,60000,18000,370000,,30000,17000,
Bhutan,BTN,1988,61000,16000,386000,,30000,19000,
Bhutan,BTN,1989,62000,15000,360000,,30000,20000,
Bhutan,BTN,1990,63000,15500,350000,,31000,19000,
Bhutan,BTN,1991,5900,12000,370000,,31500,18000,
Bhutan,BTN,1992,5400,7000,271000,,32200,17000,
Bhutan,BTN,1993,5400,10000,300000,,32800,16000,
Bhutan,BTN,1994,5400,14000,311000,,33300,16000,
Bhutan,BTN,1995,6000,18000,345000,,35000,18000,
Bhutan,BTN,1996,7685,19000,323000,,43000,18000,
Bhutan,BTN,1997,6862,19000,338000,,38000,17000,
Bhutan,BTN,1998,5700,20000,407000,,40000,16000,
Bhutan,BTN,1999,5826,19000,535000,,40000,12000,
Bhutan,BTN,2000,4866,17000,414000,,35000,11000,
Bhutan,BTN,2001,5200,19000,405000,,35000,10500,
Bhutan,BTN,2002,4050,16000,400000,,35000,9500,
Bhutan,BTN,2003,4258,15000,375000,,30000,9000,
Bhutan,BTN,2004,5490,15000,404000,,30000,9000,
Bhutan,BTN,2005,5965,15000,383000,,20500,9000,
Bhutan,BTN,2006,5660,15500,370000,,25500,9000,
Bhutan,BTN,2007,6194,16000,370000,,25500,9000,
Bhutan,BTN,2008,7534,16000,370000,,26000,9139,
Bhutan,BTN,2009,6252,16500,370000,,26100,6501,
Bhutan,BTN,2010,5311,16700,489000,,26200,7415,
Bhutan,BTN,2011,4563,17200,513000,,20730,7261,
Bhutan,BTN,2012,5049,18000,909000,,27000,6288,
Bhutan,BTN,2013,4078,18100,715000,,16189,5786,
Bhutan,BTN,2014,6204,22217,728000,,15646,6285,
Bhutan,BTN,2015,6175,18500,821000,,17388,6656,
Bhutan,BTN,2016,5214,18000,1297000,,17192,6581,
Bhutan,BTN,2017,4864,19638,1295000,,21413,6097,
Bhutan,BTN,2018,3633,20000,1735000,,24939,6016,
Bhutan,BTN,2019,4738,21869,1069000,,23303,6392,
Bhutan,BTN,2020,6767,20000,2094000,,20718,6066,
Bhutan,BTN,2021,9864,26787,2093000,,27460,783,
Bhutan,BTN,2022,17691,23694,866000,,40158,671,
Bolivia,BOL,1961,246000,569500,6000000,64000,371400,1193000,220000
Bolivia,BOL,1962,266000,589176,6000000,88000,378600,1235000,226000
Bolivia,BOL,1963,267000,609286,6300000,97000,385450,1260000,249000
Bolivia,BOL,1964,267000,630000,6300000,97000,392320,1219000,249000
Bolivia,BOL,1965,274000,600000,6500000,98000,422321,1229000,251000
Bolivia,BOL,1966,282000,580000,8600000,98000,426000,1242000,250000
Bolivia,BOL,1967,292000,560000,9500000,109000,431400,1288000,248000
Bolivia,BOL,1968,307000,530000,10500000,109000,466000,1305000,250000
Bolivia,BOL,1969,318000,528000,11500000,108000,502200,1358000,245000
Bolivia,BOL,1970,339400,528000,12800000,109000,550490,1368790,248000
Bolivia,BOL,1971,354100,530000,15000000,108000,576260,1409510,245000
Bolivia,BOL,1972,403900,535000,16000000,110000,604000,1450060,245000
Bolivia,BOL,1973,409000,550000,17000000,110000,634300,1486350,246000
Bolivia,BOL,1974,432800,560000,17000000,115000,665910,1523540,247000
Bolivia,BOL,1975,451250,585000,23000000,120000,704855,1530312,248000
Bolivia,BOL,1976,460670,600000,24200000,122000,739110,1656863,250000
Bolivia,BOL,1977,478620,610000,27300000,124000,786854,1668842,252000
Bolivia,BOL,1978,490313,620000,25500000,125000,822358,1718992,254000
Bolivia,BOL,1979,533640,625000,24800000,127000,859460,1757200,255000
Bolivia,BOL,1980,628245,480000,24372000,130000,954081,1795200,256000
Bolivia,BOL,1981,594788,500000,23145000,130000,984475,1827407,256000
Bolivia,BOL,1982,604416,490000,19615000,132000,1020061,1893177,258000
Bolivia,BOL,1983,648229,430000,18234000,140000,1247105,1701235,260000
Bolivia,BOL,1984,677364,324000,17100000,140000,1062379,1446544,260000
Bolivia,BOL,1985,721554,324000,17097000,140000,1102742,1450163,260000
Bolivia,BOL,1986,657174,345000,17056000,150000,1073026,1170518,261000
Bolivia,BOL,1987,681016,407000,17080000,150000,1141358,1405642,262000
Bolivia,BOL,1988,702203,400000,25000000,160000,1211453,1456066,263000
Bolivia,BOL,1989,711866,394000,28800000,160000,1077264,1772952,264000
Bolivia,BOL,1990,770530,389000,35300000,165000,1305792,1911021,265000
Bolivia,BOL,1991,784914,390000,43000000,,1306312,1595093,266000
Bolivia,BOL,1992,809099,390920,44600000,,1335330,1345035,270000
Bolivia,BOL,1993,793896,454000,60000000,,1153265,1526160,270000
Bolivia,BOL,1994,809881,455110,73000000,,1192386,1560690,270000
Bolivia,BOL,1995,822273,523882,80000000,,1245543,1616320,270000
Bolivia,BOL,1996,888907,524000,85000000,,1315085,1658591,270000
Bolivia,BOL,1997,858326,523882,93000000,,1373185,1678521,270000
Bolivia,BOL,1998,872079,523882,110000000,,1443395,1721918,270000
Bolivia,BOL,1999,907528,510000,111000000,,1481198,1758545,280000
Bolivia,BOL,2000,931807,460000,108000000,,1528430,1919180,280000
Bolivia,BOL,2001,981000,450000,103000000,,1939000,1919500,280000
Bolivia,BOL,2002,997000,430000,108900000,,2011000,1920000,280000
Bolivia,BOL,2003,1020000,455000,108900000,,2083000,1900000,295000
Bolivia,BOL,2004,1042000,441000,119000000,,2155000,1900000,295000
Bolivia,BOL,2005,1050000,427000,148000000,,2070000,1400000,295000
Bolivia,BOL,2006,1200000,413000,149000000,,1980000,1400000,295000
Bolivia,BOL,2007,1460000,399000,158000000,,1870000,1400000,295000
Bolivia,BOL,2008,1490000,385000,170000000,,1756000,1420000,295000
Bolivia,BOL,2009,1520000,371000,175000000,,1590000,1410350,295000
Bolivia,BOL,2010,1048171,357368,179226000,,1414907,1366158,555000
Bolivia,BOL,2011,1064038,361634,176143000,,1455080,1491771,560000
Bolivia,BOL,2012,1109542,373117,169454000,,1498628,1473524,577000
Bolivia,BOL,2013,1123029,382801,171889000,,1540099,1513738,607000
Bolivia,BOL,2014,1154033,389534,174137000,,1555846,1544399,644000
Bolivia,BOL,2015,1242000,251000,180222000,,1587755,1201000,665000
Bolivia,BOL,2016,1288000,289000,177194000,,1989000,1332000,638000
Bolivia,BOL,2017,1334000,287000,169357000,,2032000,1106000,633000
Bolivia,BOL,2018,1376000,300995,170274000,,1965066,1156975,634000
Bolivia,BOL,2019,1344995,396083,167532000,,2040766,1379530,651000
Bolivia,BOL,2020,1393190,338487,163366000,,2147043,1578756,658000
Bolivia,BOL,2021,1435193,366101,160166000,,2139752,1601938,675000
Bolivia,BOL,2022,1511090,385279,156806000,,2250561,1632727,695000
Bosnia and Herzegovina,BIH,1992,170000,,11000000,,143000,118000,
Bosnia and Herzegovina,BIH,1993,165000,,8900000,,136000,100000,0
Bosnia and Herzegovina,BIH,1994,135000,,8000000,,150000,75000,0
Bosnia and Herzegovina,BIH,1995,95000,,9100000,,157000,67000,0
Bosnia and Herzegovina,BIH,1996,80000,,9600000,,114000,64000,0
Bosnia and Herzegovina,BIH,1997,77000,,5900000,,70000,47000,0
Bosnia and Herzegovina,BIH,1998,98000,,3200000,,121000,74000,0
Bosnia and Herzegovina,BIH,1999,95000,,4900000,,117000,80000,0
Bosnia and Herzegovina,BIH,2000,122000,,5200000,,118400,93000,0
Bosnia and Herzegovina,BIH,2001,107000,,4500000,,84300,80600,0
Bosnia and Herzegovina,BIH,2002,120000,,7500000,,108500,95200,0
Bosnia and Herzegovina,BIH,2003,137000,,9300000,,121300,98500,0
Bosnia and Herzegovina,BIH,2004,140626,,11750000,,132238,89648,0
Bosnia and Herzegovina,BIH,2005,154934,,8527000,,144559,102941,0
Bosnia and Herzegovina,BIH,2006,143864,,10656000,,148503,107880,0
Bosnia and Herzegovina,BIH,2007,142841,,14945000,,138208,103242,0
Bosnia and Herzegovina,BIH,2008,154078,,21302000,,133291,94679,0
Bosnia and Herzegovina,BIH,2009,145995,,24039000,,144418,98544,0
Bosnia and Herzegovina,BIH,2010,151995,,26977000,,189365,129475,0
Bosnia and Herzegovina,BIH,2011,139126,,32381000,,230837,138511,0
Bosnia and Herzegovina,BIH,2012,134916,,37344000,,221040,133907,0
Bosnia and Herzegovina,BIH,2013,102779,,28271000,0,144464,96735,0
Bosnia and Herzegovina,BIH,2014,78987,,28218000,3000,131425,97957,0
Bosnia and Herzegovina,BIH,2015,96962,,31369000,5000,122240,89024,0
Bosnia and Herzegovina,BIH,2016,74298,,37571000,6000,119976,86066,0
Bosnia and Herzegovina,BIH,2017,69196,,39782000,7000,122612,84036,0
Bosnia and Herzegovina,BIH,2018,56321,0,40265000,12000,101509,94228,0
Bosnia and Herzegovina,BIH,2019,53605,0,42615000,7000,107967,91406,0
Bosnia and Herzegovina,BIH,2020,56597,0,41453000,8000,100213,60127,0
Bosnia and Herzegovina,BIH,2021,51054,0,40445000,21000,109588,86529,0
Bosnia and Herzegovina,BIH,2022,43424,0,43537000,22000,104424,72878,0
Botswana,BWA,1961,60000,140000,213000,,2850,35000,
Botswana,BWA,1962,75000,145000,244000,,3600,40000,
Botswana,BWA,1963,95000,150000,277000,,4100,45000,
Botswana,BWA,1964,125000,155000,307000,,4300,46000,
Botswana,BWA,1965,165000,160000,338000,,4900,45000,
Botswana,BWA,1966,152000,165000,369000,,5200,55000,
Botswana,BWA,1967,115000,160950,401000,,5600,60000,
Botswana,BWA,1968,80000,191527,424000,,5800,65000,
Botswana,BWA,1969,80000,258149,345000,,7500,70000,
Botswana,BWA,1970,150000,266000,430000,,6000,70000,
Botswana,BWA,1971,157000,253783,238000,,11000,70343,
Botswana,BWA,1972,157000,243807,492000,,10700,72330,
Botswana,BWA,1973,209000,245500,474000,,11200,74000,
Botswana,BWA,1974,186000,260000,520000,,11900,70000,
Botswana,BWA,1975,188000,240000,600000,,11000,56000,
Botswana,BWA,1976,211987,230000,700000,,10000,48000,
Botswana,BWA,1977,196850,230000,800000,,9000,42000,
Botswana,BWA,1978,149346,240000,900000,,7000,40000,
Botswana,BWA,1979,228961,252100,950000,,5000,39000,
Botswana,BWA,1980,140783,219200,1050000,,4900,45400,
Botswana,BWA,1981,201394,210000,1250000,,4000,34600,
Botswana,BWA,1982,237135,220000,1450000,,4000,46000,
Botswana,BWA,1983,219221,230000,1500000,,3300,54000,
Botswana,BWA,1984,275880,240000,1850000,,7200,56000,
